timestamp,event_type,risk_score,details
2026-08-29T03:40:49,DROWSINESS,90,"{""ear"": 0.07, ""mar"": 0.015, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.1, ""yaw"": -10.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:40:50,DISTRACTION,90,"{""ear"": 0.075, ""mar"": 0.014, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.0, ""yaw"": -10.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:40:55,DISTRACTION,45,"{""ear"": 0.272, ""mar"": 0.005, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -178.7, ""yaw"": 14.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:40:58,NO_SEATBELT,45,"{""ear"": 0.254, ""mar"": 0.038, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.2, ""yaw"": 2.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:41:00,DISTRACTION,45,"{""ear"": 0.222, ""mar"": 0.013, ""head_direction"": ""LOOKING UP"", ""pitch"": 171.3, ""yaw"": 4.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:41:03,NO_SEATBELT,45,"{""ear"": 0.153, ""mar"": 0.024, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 174.1, ""yaw"": 16.8, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:41:05,DISTRACTION,45,"{""ear"": 0.345, ""mar"": 0.024, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.1, ""yaw"": 5.7, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:41:10,NO_SEATBELT,45,"{""ear"": 0.181, ""mar"": 0.024, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 176.6, ""yaw"": 17.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:02,DISTRACTION,45,"{""ear"": 0.217, ""mar"": 0.015, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.9, ""yaw"": -6.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:07,DISTRACTION,25,"{""ear"": 0.321, ""mar"": 0.022, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.1, ""yaw"": 10.8, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:48:12,DISTRACTION,45,"{""ear"": 0.252, ""mar"": 0.012, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.2, ""yaw"": 10.4, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:13,NO_SEATBELT,45,"{""ear"": 0.315, ""mar"": 0.006, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.6, ""yaw"": 7.1, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:17,DISTRACTION,45,"{""ear"": 0.476, ""mar"": 0.007, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.3, ""yaw"": 12.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:23,DISTRACTION,25,"{""ear"": 0.452, ""mar"": 0.013, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 169.7, ""yaw"": 16.6, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:48:28,DISTRACTION,25,"{""ear"": 0.336, ""mar"": 0.018, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 168.6, ""yaw"": 18.5, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:48:33,DISTRACTION,25,"{""ear"": 0.472, ""mar"": 0.004, ""head_direction"": ""LOOKING UP"", ""pitch"": 170.7, ""yaw"": 9.9, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:48:37,NO_SEATBELT,45,"{""ear"": 0.249, ""mar"": 0.02, ""head_direction"": ""LOOKING UP"", ""pitch"": 167.2, ""yaw"": 3.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:38,DISTRACTION,45,"{""ear"": 0.215, ""mar"": 0.031, ""head_direction"": ""LOOKING UP"", ""pitch"": 166.7, ""yaw"": 4.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:44,DISTRACTION,45,"{""ear"": 0.288, ""mar"": 0.03, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.2, ""yaw"": 14.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:44,NO_SEATBELT,45,"{""ear"": 0.288, ""mar"": 0.03, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.2, ""yaw"": 14.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:49,DISTRACTION,45,"{""ear"": 0.21, ""mar"": 0.021, ""head_direction"": ""LOOKING UP"", ""pitch"": 166.9, ""yaw"": 8.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:49,NO_SEATBELT,45,"{""ear"": 0.283, ""mar"": 0.037, ""head_direction"": ""LOOKING UP"", ""pitch"": 167.0, ""yaw"": 9.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:54,DISTRACTION,25,"{""ear"": 0.35, ""mar"": 0.015, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.3, ""yaw"": 9.4, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:48:59,NO_SEATBELT,45,"{""ear"": 0.389, ""mar"": 0.017, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.6, ""yaw"": 7.1, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:48:59,DISTRACTION,45,"{""ear"": 0.394, ""mar"": 0.019, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.6, ""yaw"": 7.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:49:04,DISTRACTION,25,"{""ear"": 0.374, ""mar"": 0.023, ""head_direction"": ""LOOKING UP"", ""pitch"": 168.5, ""yaw"": 4.3, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:49:08,NO_SEATBELT,45,"{""ear"": 0.137, ""mar"": 0.019, ""head_direction"": ""LOOKING UP"", ""pitch"": 172.7, ""yaw"": -13.4, ""phone"": false, ""seatbelt"": false}"
